AverageWordLength,TypeTokenRatio,RootTypeTokenRatio,AvgTreeDepth,AvgTreeScore,MLC,MLS,MLT,C_S,C_T,CT_T,DC_C,DC_T,CP_C,CP_T,T_S,CN_C,CN_T,VP_T,SentenceCount,AvgSentenceLengthInWords,AvgSentenceLengthInChars,NounVariation,VerbVariation,AdjectiveVariation,AdverbVariation,VerbVariation1,SquaredVerbVariation1,CorrectedVerbVariation1,LexicalDensity,label
5.033654,0.560096,11.423765,8.515152,-224.993295,13.054054,14.636364,17.25,1.121212,1.321429,0.571429,0.405405,0.535714,0.351351,0.464286,0.848485,3.675676,4.857143,0.464286,33,14.636364,64.666667,0.526316,0.233083,0.176692,0.06391,0.403226,10.080645,2.245066,0.550725,Elementary
4.707865,0.54382,11.4719,13.136364,-148.61823,10,22.272727,21.304348,2.227273,2.130435,1.043478,0.489796,1.043478,0.285714,0.608696,1.045455,2.387755,5.086957,0.608696,22,22.272727,95.227273,0.437956,0.332117,0.153285,0.076642,0.483516,21.274725,3.261497,0.559184,Elementary
4.515284,0.585153,12.522818,10.961538,-137.675172,11.086957,19.615385,16.451613,1.769231,1.483871,0.580645,0.391304,0.580645,0.326087,0.483871,1.192308,2.608696,3.870968,0.483871,26,19.615385,79.846154,0.475096,0.275862,0.187739,0.061303,0.486111,17.013889,2.916667,0.511765,Elementary
4.596273,0.57971,12.740441,11.652174,-157.960392,12.186047,22.782609,20.153846,1.869565,1.653846,0.653846,0.372093,0.615385,0.325581,0.538462,1.130435,2.930233,4.846154,0.538462,23,22.782609,96.521739,0.530405,0.280405,0.121622,0.067568,0.542169,24.39759,3.492677,0.564885,Elementary
4.366906,0.498801,10.185804,12.285714,-138.328716,8.862745,21.52381,19.652174,2.428571,2.217391,1.391304,0.54902,1.217391,0.098039,0.217391,1.095238,2.098039,4.652174,0.217391,21,21.52381,86.714286,0.508403,0.369748,0.084034,0.037815,0.397727,13.920455,2.638224,0.526549,Elementary
4.629921,0.538058,10.502468,13.5,-150.036194,10.414634,23.722222,21.35,2.277778,2.05,1.1,0.463415,0.95,0.146341,0.3,1.111111,2.756098,5.65,0.3,18,23.722222,98,0.478261,0.295652,0.156522,0.069565,0.441176,13.235294,2.572479,0.538642,Elementary
4.907956,0.541342,13.705676,8.295455,-121.786378,10.094595,16.977273,12.87931,1.681818,1.275862,0.310345,0.202703,0.258621,0.27027,0.344828,1.318182,1.837838,2.344828,0.344828,44,16.977273,72.045455,0.538084,0.250614,0.127764,0.083538,0.372549,14.156863,2.660532,0.544846,Elementary
4.909556,0.488055,11.814551,11.935484,-143.393004,9.028169,20.677419,18.852941,2.290323,2.088235,1.029412,0.478873,1,0.126761,0.264706,1.096774,2.676056,5.588235,0.264706,31,20.677419,93.064516,0.494444,0.311111,0.147222,0.047222,0.410714,18.892857,3.073504,0.561622,Elementary
4.756757,0.535627,10.805859,12.095238,-143.892188,10.044444,21.52381,20.545455,2.142857,2.045455,1,0.488889,1,0.155556,0.318182,1.047619,2.8,5.727273,0.318182,21,21.52381,92.571429,0.491935,0.314516,0.137097,0.056452,0.461538,16.615385,2.882307,0.548673,Elementary
5.154255,0.578014,13.727076,10.21875,-141.115103,11.333333,20.1875,14.355556,1.78125,1.266667,0.244444,0.192982,0.244444,0.263158,0.333333,1.40625,3.245614,4.111111,0.333333,32,20.1875,91.59375,0.530387,0.262431,0.149171,0.058011,0.484211,22.273684,3.337191,0.560372,Elementary
5.071429,0.495798,10.817042,12.695652,-154.025847,9.6,22.956522,18.206897,2.391304,1.896552,1,0.472727,0.896552,0.2,0.37931,1.26087,2.036364,3.862069,0.37931,23,22.956522,105.304348,0.494983,0.297659,0.140468,0.06689,0.382022,12.988764,2.548408,0.566288,Elementary
5.085938,0.550781,12.462757,9.448276,-140.189521,10.357143,20,16.571429,1.931034,1.6,0.4,0.214286,0.342857,0.267857,0.428571,1.206897,2.053571,3.285714,0.428571,29,20,90.344828,0.485207,0.230769,0.168639,0.115385,0.423077,13.961538,2.642115,0.582759,Elementary
4.605405,0.554054,10.657443,10.052632,-146.825117,11.416667,21.631579,16.44,1.894737,1.44,0.52,0.305556,0.44,0.166667,0.24,1.315789,1.944444,2.8,0.24,19,21.631579,90.105263,0.578723,0.221277,0.131915,0.068085,0.480769,12.019231,2.451452,0.571776,Elementary
4.837728,0.58215,12.92583,13.391304,-172.098895,8.461538,23.913043,18.965517,2.826087,2.241379,1.586207,0.538462,1.206897,0.2,0.448276,1.26087,1.861538,4.172414,0.448276,23,23.913043,103.695652,0.542662,0.317406,0.095563,0.044369,0.494624,22.752688,3.372884,0.532727,Elementary
4.511384,0.549912,13.140491,10.75,-129.310319,9.681818,19.96875,17.27027,2.0625,1.783784,0.702703,0.363636,0.648649,0.212121,0.378378,1.15625,2.015152,3.594595,0.378378,32,19.96875,80.5,0.472561,0.329268,0.131098,0.067073,0.388889,16.333333,2.857738,0.513302,Elementary
4.363158,0.505263,12.062993,11.764706,-126.52593,8.181818,18.529412,13.695652,2.264706,1.673913,0.673913,0.350649,0.586957,0.142857,0.23913,1.352941,1.298701,2.173913,0.23913,34,18.529412,73.382353,0.395833,0.389881,0.110119,0.104167,0.343511,15.458015,2.780109,0.533333,Elementary
4.700965,0.538585,13.432276,9.880952,-115.160881,10.96875,16.714286,14.93617,1.52381,1.361702,0.382979,0.265625,0.361702,0.21875,0.297872,1.119048,1.9375,2.638298,0.297872,42,16.714286,69.619048,0.483696,0.30163,0.13587,0.078804,0.396396,17.441441,2.953087,0.524217,Elementary
4.664596,0.506211,12.8462,9.418605,-118.081551,10.328571,16.813953,13.903846,1.627907,1.346154,0.5,0.285714,0.384615,0.142857,0.192308,1.209302,1.742857,2.346154,0.192308,43,16.813953,69.860465,0.474394,0.28841,0.134771,0.102426,0.495327,26.252336,3.623005,0.51314,Elementary
4.757642,0.572052,12.242456,10,-128.929939,13.358974,20.038462,17.965517,1.5,1.344828,0.37931,0.282051,0.37931,0.205128,0.275862,1.115385,2.25641,3.034483,0.275862,26,20.038462,83.807692,0.536232,0.242754,0.137681,0.083333,0.432836,12.552239,2.505218,0.52975,Elementary
4.706597,0.505208,12.125,10.588235,-122.790322,10.683333,18.852941,17.805556,1.764706,1.666667,0.75,0.433333,0.722222,0.15,0.25,1.058824,2.8,4.666667,0.25,34,18.852941,79.970588,0.466077,0.274336,0.188791,0.070796,0.451613,18.967742,3.079589,0.528861,Elementary
4.321203,0.469937,11.814026,10.473684,-116.010248,10.953125,18.447368,15.23913,1.684211,1.391304,0.434783,0.265625,0.369565,0.25,0.347826,1.210526,2.34375,3.26087,0.347826,38,18.447368,71.868421,0.470085,0.301994,0.148148,0.079772,0.377358,15.09434,2.747211,0.500713,Elementary
4.335537,0.565289,13.904277,9.333333,-117.153006,10,16.428571,14.680851,1.642857,1.468085,0.510638,0.347826,0.510638,0.101449,0.148936,1.119048,1.637681,2.404255,0.148936,42,16.428571,62.452381,0.428571,0.333333,0.131653,0.106443,0.411765,20.176471,3.176198,0.517391,Elementary
4.800959,0.551559,11.263148,11.52381,-149.289492,12.184211,22.047619,20.130435,1.809524,1.652174,0.478261,0.289474,0.478261,0.263158,0.434783,1.095238,2.657895,4.391304,0.434783,21,22.047619,95.714286,0.532819,0.27027,0.135135,0.061776,0.471429,15.557143,2.789009,0.559395,Elementary
4.437594,0.503759,12.990743,9.176471,-133.395016,8.651163,14.588235,12.4,1.686275,1.433333,0.566667,0.372093,0.533333,0.127907,0.183333,1.176471,1.290698,1.85,0.183333,51,14.588235,58.019608,0.422392,0.361323,0.129771,0.086514,0.359155,18.316901,3.026293,0.528226,Elementary
4.708955,0.557214,11.172105,10.04,-121.343015,9.717391,17.88,15.964286,1.84,1.642857,0.464286,0.282609,0.464286,0.195652,0.321429,1.12,1.326087,2.178571,0.321429,25,17.88,75.72,0.591093,0.246964,0.117409,0.044534,0.491803,14.754098,2.716072,0.552573,Elementary
4.589633,0.559395,12.036751,10.4,-115.964342,8.655738,17.6,14.27027,2.033333,1.648649,0.648649,0.344262,0.567568,0.196721,0.324324,1.233333,2,3.297297,0.324324,30,17.6,71.1,0.457746,0.330986,0.15493,0.056338,0.414894,16.180851,2.844367,0.537879,Elementary
4.781679,0.468702,11.995483,10.394737,-123.719485,9.164557,19.052632,15.083333,2.078947,1.645833,0.75,0.417722,0.6875,0.189873,0.3125,1.263158,1.265823,2.083333,0.3125,38,19.052632,82.421053,0.536842,0.302632,0.081579,0.078947,0.347826,13.913043,2.637522,0.524862,Elementary
4.593698,0.552239,13.560808,10.235294,-165.444306,12.053571,19.852941,16.463415,1.647059,1.365854,0.463415,0.321429,0.439024,0.375,0.512195,1.205882,2.821429,3.853659,0.512195,34,19.852941,81.705882,0.541899,0.25419,0.134078,0.069832,0.43956,17.582418,2.964997,0.53037,Elementary
5.048077,0.632212,12.894636,11.857143,-157.109175,10.244444,21.952381,16.464286,2.142857,1.607143,0.892857,0.444444,0.714286,0.2,0.321429,1.333333,2.422222,3.892857,0.321429,21,21.952381,100,0.526316,0.281955,0.142857,0.048872,0.626667,29.453333,3.837534,0.577007,Elementary
4.515015,0.513514,13.252231,9.6,-99.37205,9.64557,15.24,13.854545,1.58,1.436364,0.454545,0.316456,0.454545,0.278481,0.4,1.1,1.291139,1.854545,0.4,50,15.24,60.14,0.456044,0.362637,0.10989,0.071429,0.469697,29.121212,3.815836,0.47769,Elementary
4.8208,0.5568,13.92,9.630435,-103.82495,9.386667,15.304348,14.08,1.630435,1.5,0.46,0.32,0.48,0.106667,0.16,1.086957,1.8,2.7,0.16,46,15.304348,65.5,0.451948,0.290909,0.163636,0.093506,0.383929,16.508929,2.873058,0.546875,Elementary
4.705036,0.579137,9.656138,11.2,-134.271269,13.086957,20.066667,18.8125,1.533333,1.4375,0.4375,0.304348,0.4375,0.347826,0.5,1.066667,2,2.875,0.5,15,20.066667,87.2,0.566879,0.286624,0.095541,0.050955,0.577778,15.022222,2.740641,0.521595,Elementary
4.732113,0.477537,11.706974,10.970588,-126.238791,9,19.588235,15.857143,2.176471,1.761905,0.809524,0.432432,0.761905,0.148649,0.261905,1.235294,2.364865,4.166667,0.261905,34,19.588235,83.647059,0.442197,0.320809,0.15896,0.078035,0.369369,15.144144,2.75174,0.51952,Elementary
4.35,0.496875,12.570054,10.823529,-141.452547,11.590164,20.794118,18.128205,1.794118,1.564103,0.615385,0.344262,0.538462,0.377049,0.589744,1.147059,2.672131,4.179487,0.589744,34,20.794118,81.882353,0.527415,0.287206,0.125326,0.060052,0.409091,18.409091,3.033899,0.541726,Elementary
4.796253,0.578454,11.953168,10.153846,-122.999382,11.186047,18.5,16.033333,1.653846,1.433333,0.466667,0.372093,0.533333,0.325581,0.466667,1.153846,1.790698,2.566667,0.466667,26,18.5,79.076923,0.492248,0.302326,0.151163,0.054264,0.461538,16.615385,2.882307,0.536383,Elementary
4.555906,0.540157,13.61154,10.459459,-125.857415,10.701493,19.378378,17.925,1.810811,1.675,0.575,0.313433,0.525,0.238806,0.4,1.081081,2.402985,4.025,0.4,37,19.378378,79.054054,0.487738,0.256131,0.168937,0.087193,0.308511,8.946809,2.115042,0.511855,Elementary
4.600398,0.532803,11.949529,11.62963,-134.624704,10.865385,20.925926,17.65625,1.925926,1.625,0.71875,0.365385,0.59375,0.211538,0.34375,1.185185,1.769231,2.875,0.34375,27,20.925926,85.703704,0.520295,0.306273,0.110701,0.062731,0.53012,23.325301,3.415062,0.479646,Elementary
4.784543,0.580796,12.001561,9.259259,-126.636778,14.27027,19.555556,15.529412,1.37037,1.088235,0.205882,0.189189,0.205882,0.378378,0.411765,1.259259,2.405405,2.617647,0.411765,27,19.555556,78.925926,0.523622,0.279528,0.137795,0.059055,0.408451,11.84507,2.433626,0.481061,Elementary
