document,CharacterCount,WordCount,AverageWordLength,UniqueWordsCount,TypeTokenRatio,RootTypeTokenRatio,CorrectedTypeTokenRatio,AvgTreeDepth,AvgTreeScore,MLC,MLS,MLT,C_S,C_T,CT_T,DC_C,DC_T,CP_C,CP_T,T_S,CN_C,CN_T,VP_T,SentenceCount,AvgSentenceLengthInWords,AvgSentenceLengthInChars,NounVariation,VerbVariation,AdjectiveVariation,AdverbVariation,VerbVariation1,SquaredVerbVariation1,CorrectedVerbVariation1,LexicalDensity,label
Amazon-ele.txt,2129.000000,419.000000,5.081146,235.000000,0.560859,11.480501,8.117940,8.363636,-378.456011,14.388889,15.696970,19.185185,1.090909,1.333333,0.481481,0.333333,0.444444,0.361111,0.481481,0.818182,3.666667,4.888889,0.481481,33.000000,15.696970,66.515152,0.526316,0.233083,0.176692,0.063910,0.387097,9.290323,2.155264,0.513514,0_Elementary
Amsterdam-ele.txt,2122.000000,446.000000,4.757848,249.000000,0.558296,11.790492,8.337137,13.227273,-151.383648,10.551020,23.500000,21.541667,2.227273,2.041667,1.000000,0.469388,0.958333,0.244898,0.500000,1.090909,2.285714,4.666667,0.500000,22.000000,23.500000,97.454545,0.436364,0.330909,0.149091,0.083636,0.472527,20.318681,3.187372,0.531915,0_Elementary
Anita-ele.txt,2085.000000,462.000000,4.512987,270.000000,0.584416,12.561537,8.882348,10.961538,-137.690491,11.456522,20.269231,18.821429,1.769231,1.642857,0.607143,0.369565,0.607143,0.347826,0.571429,1.076923,2.847826,4.678571,0.571429,26.000000,20.269231,80.730769,0.464151,0.275472,0.192453,0.067925,0.465753,15.835616,2.813860,0.502846,0_Elementary
Arctic-mapping-ele.txt,2226.000000,484.000000,4.599174,281.000000,0.580579,12.772727,9.031682,11.782609,-157.282670,12.325581,23.043478,20.384615,1.869565,1.653846,0.653846,0.372093,0.615385,0.302326,0.500000,1.130435,3.139535,5.192308,0.500000,23.000000,23.043478,96.782609,0.530405,0.280405,0.121622,0.067568,0.542169,24.397590,3.492677,0.558491,0_Elementary
Banksy-ele.txt,1832.000000,417.000000,4.393285,212.000000,0.508393,10.381685,7.340960,12.428571,-138.172943,9.078431,22.047619,19.291667,2.428571,2.125000,1.291667,0.529412,1.125000,0.098039,0.208333,1.142857,2.215686,4.708333,0.208333,21.000000,22.047619,87.523810,0.510460,0.368201,0.083682,0.037657,0.386364,13.136364,2.562846,0.516199,0_Elementary
Billionaires-ele.txt,1771.000000,382.000000,4.636126,207.000000,0.541885,10.591041,7.488997,13.388889,-150.853882,10.585366,24.111111,22.842105,2.277778,2.157895,1.000000,0.439024,0.947368,0.146341,0.315789,1.055556,2.853659,6.157895,0.315789,18.000000,24.111111,98.611111,0.478261,0.295652,0.156522,0.069565,0.441176,13.235294,2.572479,0.529954,0_Elementary
Blackberry-ele.txt,3177.000000,642.000000,4.948598,354.000000,0.551402,13.971266,9.879177,8.181818,-144.078261,9.848101,17.681818,11.787879,1.795455,1.196970,0.257576,0.177215,0.212121,0.189873,0.227273,1.500000,1.683544,2.015152,0.227273,44.000000,17.681818,73.113636,0.523114,0.260341,0.126521,0.090024,0.355140,13.495327,2.597627,0.528278,0_Elementary
Bolivia-ele.txt,2912.000000,591.000000,4.927242,294.000000,0.497462,12.093544,8.551427,12.096774,-145.335110,9.782609,21.774194,19.852941,2.225806,2.029412,0.970588,0.463768,0.941176,0.130435,0.264706,1.096774,2.855072,5.794118,0.264706,31.000000,21.774194,94.709677,0.494475,0.309392,0.149171,0.046961,0.401786,18.080357,3.006689,0.536296,0_Elementary
Bonus-pay-ele.txt,1956.000000,409.000000,4.782396,220.000000,0.537897,10.878300,7.692120,11.952381,-145.939464,10.260870,22.476190,19.666667,2.190476,1.916667,1.000000,0.456522,0.875000,0.152174,0.291667,1.142857,2.739130,5.250000,0.291667,21.000000,22.476190,93.904762,0.489960,0.317269,0.136546,0.056225,0.455696,16.405063,2.864006,0.527542,0_Elementary
Brazil-ele.txt,2932.000000,566.000000,5.180212,328.000000,0.579505,13.786868,9.748788,10.281250,-141.981346,11.517241,20.875000,14.521739,1.812500,1.260870,0.239130,0.189655,0.239130,0.258621,0.326087,1.437500,3.275862,4.130435,0.326087,32.000000,20.875000,92.875000,0.530387,0.265193,0.151934,0.052486,0.479167,22.041667,3.319764,0.541916,0_Elementary
